Episode,TotalScore,PositiveReward,NegativeReward,TrashCollected,OverflowCount,WastedTrips,AvgDepotDeliveryPercent
36,95.69,111.96,-16.26,1677.50,5,2,58.08
37,87.03,99.69,-12.66,1424.17,6,2,67.82
38,110.67,118.31,-7.65,1690.16,1,2,80.48
39,78.91,103.84,-24.92,1486.75,6,4,70.57
40,105.49,115.80,-10.31,1654.31,5,3,78.78
41,110.33,123.96,-13.63,1826.35,4,2,64.77
42,78.63,95.24,-16.61,1413.32,5,4,89.30
43,79.97,93.44,-13.47,1484.18,6,0,60.72
44,80.34,93.66,-13.32,1490.89,4,2,85.12
45,89.81,100.67,-10.86,1438.17,4,3,43.58
46,84.40,104.26,-19.85,1489.46,5,8,55.17
47,92.69,113.51,-20.81,1692.60,4,5,75.86
48,88.60,94.86,-6.27,1537.54,3,5,71.23
49,90.55,101.72,-11.16,1650.18,2,5,76.35
50,78.36,98.31,-19.95,1548.87,7,4,74.82
51,106.33,117.63,-11.31,1703.48,3,3,69.63
52,78.57,90.56,-11.99,1442.49,3,6,82.27
53,89.30,96.56,-7.26,1521.89,4,2,73.47
54,72.36,92.02,-19.65,1472.86,7,9,69.51
55,61.01,86.98,-25.97,1349.17,6,5,100.00
56,89.57,99.37,-9.80,1459.10,3,2,51.99
57,88.47,104.24,-15.77,1531.49,4,5,70.11
58,104.46,108.97,-4.52,1556.74,3,2,57.66
59,92.33,106.49,-14.15,1657.27,4,3,81.49
60,97.30,110.16,-12.87,1573.76,3,6,87.43
61,82.49,106.25,-23.76,1526.68,5,4,72.11
62,103.27,116.98,-13.71,1718.44,3,7,68.84
63,100.36,111.89,-11.53,1666.57,3,3,74.81
64,87.07,100.27,-13.20,1528.70,5,5,66.38
65,96.62,109.01,-12.38,1557.31,3,2,64.89
66,111.23,116.23,-5.01,1660.41,2,3,79.07
67,92.28,111.66,-19.38,1595.18,6,4,59.08
68,84.33,97.34,-13.01,1521.44,4,3,74.35
69,71.16,95.31,-24.15,1361.53,6,5,50.43
70,89.14,99.20,-10.07,1417.21,3,2,94.48
71,76.42,98.42,-22.00,1457.99,5,2,76.96
72,88.77,100.46,-11.68,1649.41,4,1,89.96
73,66.66,85.47,-18.81,1270.21,6,2,66.74
74,87.39,95.43,-8.05,1363.33,3,7,56.81
75,98.67,103.10,-4.44,1517.75,3,1,80.83
76,105.50,117.08,-11.59,1766.42,3,10,68.12
77,102.61,110.05,-7.45,1579.69,3,3,74.72
78,90.97,98.03,-7.06,1415.34,3,6,51.65
79,94.08,100.97,-6.90,1516.97,1,2,58.86
80,79.85,101.70,-21.84,1452.80,6,2,80.71
81,91.38,105.20,-13.82,1588.30,6,6,61.19
82,65.74,85.63,-19.89,1299.42,5,4,79.52
83,102.00,107.97,-5.98,1567.06,5,4,51.08
84,97.33,116.24,-18.90,1685.48,4,1,78.60
85,99.08,109.16,-10.08,1669.33,3,4,72.17
86,87.66,109.75,-22.09,1567.88,5,4,47.51
87,80.01,93.71,-13.71,1494.99,3,5,70.91
88,107.67,112.78,-5.12,1611.20,2,3,67.13
89,67.17,96.87,-29.70,1493.13,8,7,74.45
90,71.03,93.57,-22.54,1463.47,4,13,53.59
91,91.69,107.00,-15.30,1621.44,5,4,71.02
92,94.49,100.86,-6.38,1574.73,3,3,66.07
93,101.36,107.68,-6.33,1636.88,2,3,62.45
94,91.57,103.41,-11.84,1621.13,2,7,78.88
95,88.48,101.59,-13.11,1517.66,5,2,67.85
96,75.56,95.28,-19.72,1361.14,6,3,45.37
97,93.26,104.38,-11.12,1555.27,3,5,61.06
98,81.31,96.93,-15.62,1508.15,5,4,74.19
99,82.92,96.90,-13.97,1552.72,3,5,73.16
100,103.36,113.10,-9.74,1624.72,4,4,67.17
100,103.35,113.10,-9.75,1624.72,4,4,67.17
100,103.34,113.10,-9.76,1624.72,4,4,67.17
100,103.34,113.10,-9.77,1624.72,4,4,67.17
100,103.33,113.10,-9.77,1624.72,4,4,67.17
100,103.32,113.10,-9.78,1624.72,4,4,67.17
100,103.31,113.10,-9.79,1624.72,4,4,67.17
100,103.30,113.10,-9.80,1624.72,4,4,67.17
100,103.29,113.10,-9.81,1624.72,4,4,67.17
100,103.29,113.10,-9.82,1624.72,4,4,67.17
100,103.28,113.10,-9.82,1624.72,4,4,67.17
100,103.27,113.10,-9.83,1624.72,4,4,67.17
100,103.26,113.10,-9.84,1624.72,4,4,67.17
100,103.25,113.10,-9.85,1624.72,4,4,67.17
100,103.24,113.10,-9.86,1624.72,4,4,67.17
100,103.24,113.10,-9.86,1624.72,4,4,67.17
