Episode,TotalScore,PositiveReward,NegativeReward,TrashCollected,OverflowCount,WastedTrips,AvgDepotDeliveryPercent
39,110.78,116.8,-6.04,1669.44,1,3,61.79
40,120.51,122.5,-2,1808.74,0,5,71.94
41,113.26,119.15,-5.9,1702.1,1,1,81.05
42,101.47,107.21,-5.74,1669.63,3,1,82.02
43,98.77,111.47,-12.7,1593.72,3,2,75.81
44,125.61,128.13,-2.52,1830.37,1,0,67.79
45,100.1,105.71,-5.62,1692.2,3,2,79.86
46,107.31,115.3,-8,1647.12,2,3,49.91
47,119.32,123.92,-4.61,1770.32,4,4,59.01
48,105.09,116.56,-11.47,1772.15,5,0,90.14
49,102.16,110.03,-7.88,1571.85,1,6,65.49
50,123.48,125.47,-2,1792.47,0,1,59.75
51,104.42,106.41,-2,1520.17,0,2,84.45
52,125.36,136.2,-10.85,1951.97,3,2,64.77
53,110.47,114.92,-4.46,1658.99,3,3,60.55
54,115.18,117.17,-2,1674.34,0,4,46.49
55,137.11,139.13,-2.03,2024.67,1,1,65.76
56,107.2,111.93,-4.75,1599.65,2,17,59.22
57,92.83,106.8,-13.96,1526.19,4,2,56.5
58,114.27,118.86,-4.59,1697.94,3,1,70.75
59,122.28,124.28,-2,1786.04,1,1,73.8
60,114.91,117.07,-2.17,1730.93,1,1,78.53
61,106.2,117.55,-11.36,1682.47,3,2,62.15
62,113.39,119.88,-6.5,1712.57,2,5,57.09
63,121.9,130.66,-8.77,1877.73,3,2,56.43
64,119.54,125.86,-6.34,1798.7,1,16,46.1
65,126.53,129.46,-2.94,1849.48,1,2,68.5
66,116.21,124.67,-8.46,1780.95,5,1,65.96
67,117.5,121.99,-4.5,1765.34,3,0,72.24
68,87.66,94.97,-7.32,1362.77,1,7,50.16
69,103.42,121.04,-17.61,1729.19,6,2,57.64
70,119.9,128.16,-8.28,1834.06,1,3,76.24
71,97.66,109.23,-11.57,1586.93,2,2,46.96
72,106.67,117.78,-11.12,1682.55,2,2,70.11
73,105.01,110.05,-5.05,1573.83,1,5,58.2
74,121.86,133.6,-11.74,1925.86,5,3,70.44
75,115.67,119.25,-3.58,1707.78,3,3,70.91
76,113.55,119.39,-5.84,1777.7,2,4,79.84
77,120.51,124.16,-3.66,1819.76,1,1,73.14
78,122.51,127.46,-4.95,1820.81,1,1,60.69
79,105.13,111.63,-6.51,1594.68,2,3,75.94
80,115.9,119.24,-3.35,1703.48,1,3,56.78
81,118.69,127.92,-9.23,1827.39,4,1,60.91
82,116.04,120.1,-4.07,1716.41,2,2,71.48
83,113.22,115.21,-2,1654.24,0,6,68.44
84,116.06,123.11,-7.06,1758.76,1,3,65.14
85,94.18,104.18,-10,1566.14,3,0,80.95
86,96.36,104.37,-8.02,1540.84,2,6,70.05
87,121.46,128.39,-6.94,1834.18,1,3,55.58
88,112.85,116.02,-3.18,1701.82,1,5,78.08
89,121.99,123.98,-2,1771.13,0,4,59.04
90,114.12,120.68,-6.57,1724.03,2,0,71.83
91,109.39,117.01,-7.62,1672.15,2,3,55.71
92,115.73,117.9,-2.18,1684.35,1,2,70.18
93,126.62,128.62,-2,1837.82,0,1,68.04
94,107.48,109.47,-2,1645.58,0,0,85.07
95,109.47,114.91,-5.46,1676.63,1,2,77.51
96,103.25,110.48,-7.23,1578.31,2,3,52.61
97,114.58,126.07,-11.49,1800.99,2,9,60.03
98,105.56,112.24,-6.69,1677.63,1,4,87.43
99,114.41,119.51,-5.11,1707.94,1,4,51.73
100,120.76,127.86,-7.11,1826.54,2,4,55.35
100,120.75,127.86,-7.12,1826.54,2,4,55.35
100,120.75,127.86,-7.12,1826.54,2,4,55.35
100,120.74,127.86,-7.12,1826.54,2,4,55.35
100,120.74,127.86,-7.13,1826.54,2,4,55.35
100,120.73,127.86,-7.13,1826.54,2,4,55.35
100,120.73,127.86,-7.14,1826.54,2,4,55.35
100,120.73,127.86,-7.14,1826.54,2,4,55.35
